DateTime,SpConductivity
2017-09-22 11:32:36,329.69
2017-09-22 11:46:41,330.83
2017-09-22 12:02:16,331.75
2017-09-22 12:17:26,333.03
2017-09-22 12:32:36,334.44
2017-09-22 12:46:41,335.41
2017-09-22 13:02:16,336.26
2017-09-22 13:17:26,336.83
2017-09-22 13:32:36,337.7
2017-09-22 13:46:41,338.48
2017-09-22 14:02:16,339.53
2017-09-22 14:17:26,340.57
2017-09-22 14:32:36,341.63
2017-09-22 14:46:41,342.68
2017-09-22 15:02:16,343.78
2017-09-22 15:17:26,344.65
2017-09-22 15:32:36,345.71
2017-09-22 15:46:41,346.6
2017-09-22 16:02:16,347.61
2017-09-22 16:17:26,348.57
2017-09-22 16:32:36,349.48
2017-09-22 16:46:41,350.57
2017-09-22 17:02:16,351.46
2017-09-22 17:17:26,352.49
2017-09-22 17:32:36,353.79
2017-09-22 17:46:41,355.0
2017-09-22 18:02:16,356.11
2017-09-22 18:17:26,357.05
2017-09-22 18:32:36,358.2
2017-09-22 18:46:41,359.6
2017-09-22 19:02:16,360.67
2017-09-22 19:17:26,361.89
2017-09-22 19:32:36,362.87
2017-09-22 19:46:41,363.47
2017-09-22 20:02:16,364.13
2017-09-22 20:17:26,364.83
2017-09-22 20:32:36,365.52
2017-09-22 20:46:41,366.36
2017-09-22 21:02:16,367.26
2017-09-22 21:17:26,368.11
2017-09-22 21:32:36,368.84
2017-09-22 21:46:41,369.56
2017-09-22 22:02:16,370.46
2017-09-22 22:17:26,371.14
2017-09-22 22:32:36,371.81
2017-09-22 22:46:41,372.52
2017-09-22 23:02:16,373.18
2017-09-22 23:17:26,374.0
2017-09-22 23:32:36,374.8
2017-09-22 23:46:41,375.53
2017-09-23 00:02:16,376.23
2017-09-23 00:17:26,376.81
2017-09-23 00:32:36,377.2
2017-09-23 00:46:41,377.44
2017-09-23 01:02:16,377.38
2017-09-23 01:17:26,377.15
2017-09-23 01:32:36,376.59
2017-09-23 01:46:41,375.62
2017-09-23 02:02:16,374.99
2017-09-23 02:17:26,374.28
2017-09-23 02:32:36,373.8
2017-09-23 02:46:41,373.42
2017-09-23 03:02:16,373.09
2017-09-23 03:17:26,372.77
2017-09-23 03:32:36,372.46
2017-09-23 03:46:41,372.26
2017-09-23 04:02:16,371.99
2017-09-23 04:17:26,372.09
2017-09-23 04:32:36,372.0
2017-09-23 04:46:41,371.89
2017-09-23 05:02:16,370.71
2017-09-23 05:17:26,370.75
2017-09-23 05:32:36,371.08
2017-09-23 05:46:41,371.4
2017-09-23 06:02:16,371.42
2017-09-23 06:17:26,371.52
2017-09-23 06:32:36,371.73
2017-09-23 06:46:41,372.05
2017-09-23 07:02:16,372.29
2017-09-23 07:17:26,372.56
2017-09-23 07:32:36,372.91
2017-09-23 07:46:41,372.97
2017-09-23 08:02:16,373.06
2017-09-23 08:17:26,372.69
2017-09-23 08:32:36,371.15
2017-09-23 08:46:41,369.75
2017-09-23 09:02:16,368.37
2017-09-23 09:17:26,367.21
2017-09-23 09:32:36,366.59
2017-09-23 09:46:41,366.2
2017-09-23 10:02:16,365.94
2017-09-23 10:17:26,365.91
2017-09-23 10:32:36,366.15
2017-09-23 10:46:41,366.45
2017-09-23 11:02:16,366.9
2017-09-23 11:17:26,367.14
2017-09-23 11:32:36,367.75
2017-09-23 11:46:41,368.25
2017-09-23 12:02:16,368.99
2017-09-23 12:17:26,369.47
2017-09-23 12:32:36,370.15
2017-09-23 12:46:41,370.76
2017-09-23 13:02:16,371.45
2017-09-23 13:17:26,371.95
2017-09-23 13:32:36,372.65
2017-09-23 13:46:41,373.53
2017-09-23 14:02:16,374.52
2017-09-23 14:17:26,375.35
2017-09-23 14:32:36,375.99
2017-09-23 14:46:41,376.55
2017-09-23 15:02:16,377.26
2017-09-23 15:17:26,378.07
2017-09-23 15:32:36,378.93
2017-09-23 15:46:41,379.7
2017-09-23 16:02:16,380.12
2017-09-23 16:17:26,380.8
2017-09-23 16:32:36,381.41
2017-09-23 16:46:41,382.29
2017-09-23 17:02:16,382.95
2017-09-23 17:17:26,383.72
2017-09-23 17:32:36,384.76
2017-09-23 17:46:41,385.45
2017-09-23 18:02:16,386.6
2017-09-23 18:17:26,387.58
2017-09-23 18:32:36,388.83
2017-09-23 18:46:41,390.34
2017-09-23 19:02:16,391.54
2017-09-23 19:17:26,392.54
2017-09-23 19:32:36,393.27
2017-09-23 19:46:41,394.64
2017-09-23 20:02:16,396.28
2017-09-23 20:17:26,397.26
2017-09-23 20:32:36,399.29
2017-09-23 20:46:41,400.72
2017-09-23 21:02:16,402.34
2017-09-23 21:17:26,403.75
2017-09-23 21:32:36,405.73
2017-09-23 21:46:41,407.1
2017-09-23 22:02:16,408.73
2017-09-23 22:17:26,410.15
2017-09-23 22:32:36,411.6
2017-09-23 22:46:41,412.88
2017-09-23 23:02:16,414.01
2017-09-23 23:17:26,415.12
2017-09-23 23:32:36,416.07
2017-09-23 23:46:41,416.96
2017-09-24 00:02:16,417.92
2017-09-24 00:17:26,418.53
2017-09-24 00:32:36,419.24
2017-09-24 00:46:41,419.89
2017-09-24 01:02:16,420.64
2017-09-24 01:17:26,421.3
2017-09-24 01:32:36,422.02
2017-09-24 01:46:41,422.98
2017-09-24 02:02:16,423.72
2017-09-24 02:17:26,424.45
2017-09-24 02:32:36,425.13
2017-09-24 02:46:41,425.79
2017-09-24 03:02:16,426.34
2017-09-24 03:17:26,426.89
2017-09-24 03:32:36,427.35
2017-09-24 03:46:41,427.52
2017-09-24 04:02:16,427.53
2017-09-24 04:17:26,427.7
2017-09-24 04:32:36,427.99
2017-09-24 04:46:41,427.91
2017-09-24 05:02:16,427.69
2017-09-24 05:17:26,427.42
2017-09-24 05:32:36,427.21
2017-09-24 05:46:41,427.02
2017-09-24 06:02:16,426.68
2017-09-24 06:17:26,426.26
2017-09-24 06:32:36,426.07
2017-09-24 06:46:41,425.9
2017-09-24 07:02:16,425.85
2017-09-24 07:17:26,425.73
2017-09-24 07:32:36,425.86
2017-09-24 07:46:41,426.0
2017-09-24 08:02:16,426.13
2017-09-24 08:17:26,426.19
2017-09-24 08:32:36,425.89
2017-09-24 08:46:41,425.53
2017-09-24 09:02:16,425.14
2017-09-24 09:17:26,424.91
2017-09-24 09:32:36,424.22
2017-09-24 09:46:41,423.6
2017-09-24 10:02:16,422.89
2017-09-24 10:17:26,422.35
2017-09-24 10:32:36,420.39
2017-09-24 10:46:41,417.08
2017-09-24 11:02:16,415.7
2017-09-24 11:17:26,413.68
2017-09-24 11:32:36,405.98
2017-09-24 11:46:41,400.79
2017-09-24 12:02:16,396.53
2017-09-24 12:17:26,393.06
2017-09-24 12:32:36,391.11
2017-09-24 12:46:41,390.34
2017-09-24 13:02:16,389.92
2017-09-24 13:17:26,389.46
2017-09-24 13:32:36,389.19
2017-09-24 13:46:41,388.8
2017-09-24 14:02:16,388.65
2017-09-24 14:17:26,388.6
2017-09-24 14:32:36,388.58
2017-09-24 14:46:41,388.54
2017-09-24 15:02:16,388.6
2017-09-24 15:17:26,388.75
2017-09-24 15:32:36,389.28
2017-09-24 15:46:41,389.83
2017-09-24 16:02:16,390.25
2017-09-24 16:17:26,390.96
2017-09-24 16:32:36,391.62
2017-09-24 16:46:41,392.41
2017-09-24 17:02:16,393.01
2017-09-24 17:17:26,393.91
2017-09-24 17:32:36,395.51
2017-09-24 17:46:41,397.02
2017-09-24 18:02:16,398.36
2017-09-24 18:17:26,399.72
2017-09-24 18:32:36,401.41
2017-09-24 18:46:41,403.03
2017-09-24 19:02:16,405.01
2017-09-24 19:17:26,406.79
2017-09-24 19:32:36,408.58
2017-09-24 19:46:41,410.46
2017-09-24 20:02:16,412.43
2017-09-24 20:17:26,413.92
2017-09-24 20:32:36,415.46
2017-09-24 20:46:41,417.32
2017-09-24 21:02:16,419.39
2017-09-24 21:17:26,421.24
2017-09-24 21:32:36,423.14
2017-09-24 21:46:41,424.86
2017-09-24 22:02:16,426.86
2017-09-24 22:17:26,428.61
2017-09-24 22:32:36,430.36
2017-09-24 22:46:41,432.51
2017-09-24 23:02:16,433.83
2017-09-24 23:17:26,435.17
